Run,Assay Type,BioProject,BioSample,broad-scale_environmental_context,Center Name,Collection_Date,Consent,ENA-FIRST-PUBLIC (run),ENA_first_public,ENA-LAST-UPDATE (run),ENA-STATUS-ID (exp),ENA-STATUS-ID (run),environmental_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),INSDC_center_name,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,local_environmental_context,Organism,Platform,project_name,ReleaseDate,Sample Name,Sample_name,sample_storage_temperature,Scientific_Name,SRA Study,Submitter_Id
ERR16897617,WGS,PRJEB98467,SAMEA121013429,Human-gut,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2016,public,2026-03-21,2026-03-21,2026-03-21,4,4,Feces,ERX16282678,United Kingdom,Europe,United Kingdom,51.5,-0.12,TwinsUK,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-22T00:00:00Z,SAMEA121013429,8375d6399f7df3306014084f,-80,human metagenome,ERP180859,8375d6399f7df3306014084f
ERR16897624,WGS,PRJEB98467,SAMEA121013437,Human-gut,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2016,public,2026-03-21,2026-03-21,2026-03-21,4,4,Feces,ERX16282685,United Kingdom,Europe,United Kingdom,51.5,-0.12,TwinsUK,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-22T00:00:00Z,SAMEA121013437,5d4eb8cf526afd696d8a661b,-80,human metagenome,ERP180859,5d4eb8cf526afd696d8a661b
ERR16897631,WGS,PRJEB98467,SAMEA121013452,Human-gut,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2016,public,2026-03-21,2026-03-21,2026-03-21,4,4,Feces,ERX16282692,United Kingdom,Europe,United Kingdom,51.5,-0.12,TwinsUK,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-22T00:00:00Z,SAMEA121013452,4051919df4986db53c570271,-80,human metagenome,ERP180859,4051919df4986db53c570271
ERR16897586,WGS,PRJEB98467,SAMEA121013394,Human-gut,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2018,public,2026-03-21,2026-03-21,2026-03-21,4,4,Feces,ERX16282647,United Kingdom,Europe,United Kingdom,51.5,-0.12,TwinsUK,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-22T00:00:00Z,SAMEA121013394,108c7d82b52150bcf7c6fc1a,-80,human metagenome,ERP180859,108c7d82b52150bcf7c6fc1a
ERR16897588,WGS,PRJEB98467,SAMEA121013396,Human-gut,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2018,public,2026-03-21,2026-03-21,2026-03-21,4,4,Feces,ERX16282649,United Kingdom,Europe,United Kingdom,51.5,-0.12,TwinsUK,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-22T00:00:00Z,SAMEA121013396,9a7ae095dc170f7661014d8b,-80,human metagenome,ERP180859,9a7ae095dc170f7661014d8b
ERR16897592,WGS,PRJEB98467,SAMEA121013400,Human-gut,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2018,public,2026-03-21,2026-03-21,2026-03-21,4,4,Feces,ERX16282653,United Kingdom,Europe,United Kingdom,51.5,-0.12,TwinsUK,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-22T00:00:00Z,SAMEA121013400,1a19dce9b8d523c47eb5ecf7,-80,human metagenome,ERP180859,1a19dce9b8d523c47eb5ecf7
ERR16897594,WGS,PRJEB98467,SAMEA121013402,Human-gut,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2018,public,2026-03-21,2026-03-21,2026-03-21,4,4,Feces,ERX16282655,United Kingdom,Europe,United Kingdom,51.5,-0.12,TwinsUK,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-22T00:00:00Z,SAMEA121013402,45ded9003ab53c7120454917,-80,human metagenome,ERP180859,45ded9003ab53c7120454917
ERR16897603,WGS,PRJEB98467,SAMEA121013411,Human-gut,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2018,public,2026-03-21,2026-03-21,2026-03-21,4,4,Feces,ERX16282664,United Kingdom,Europe,United Kingdom,51.5,-0.12,TwinsUK,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-22T00:00:00Z,SAMEA121013411,01f7ebdcc65b140d1c1215ed,-80,human metagenome,ERP180859,01f7ebdcc65b140d1c1215ed
ERR16897609,WGS,PRJEB98467,SAMEA121013419,Human-gut,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2016,public,2026-03-21,2026-03-21,2026-03-21,4,4,Feces,ERX16282670,United Kingdom,Europe,United Kingdom,51.5,-0.12,TwinsUK,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-22T00:00:00Z,SAMEA121013419,c69fa34d4aac2bf9ea26a338,-80,human metagenome,ERP180859,c69fa34d4aac2bf9ea26a338
ERR16897620,WGS,PRJEB98467,SAMEA121013432,Human-gut,DEPARTMENT OF TWIN RESEARCH AND GENETIC EPIDEMIOLO,2016,public,2026-03-21,2026-03-21,2026-03-21,4,4,Feces,ERX16282681,United Kingdom,Europe,United Kingdom,51.5,-0.12,TwinsUK,public,Illumina HiSeq 2500,unspecified,PAIRED,RANDOM,METAGENOMIC,Feces,human metagenome,ILLUMINA,Faecal metabolites as a readout of habitual diet capture dietary interactions with the gut microbiome.,2026-03-22T00:00:00Z,SAMEA121013432,63eae600a80b7ff62265e7d0,-80,human metagenome,ERP180859,63eae600a80b7ff62265e7d0
